month,level_1,level_2,value
1962-02,Number Of Air Passenger Departures,Middle East,na
1962-02,Number Of Air Passenger Departures,Oceania,na
1962-02,Number Of Air Passenger Departures,Europe,na
1962-02,Number Of Air Passenger Departures,North America,na
1962-02,Number Of Air Passenger Departures,Other Regions,na
1962-03,Number Of Air Passenger Departures,South East Asia,na
1962-03,Number Of Air Passenger Departures,North East Asia,na
1962-03,Number Of Air Passenger Departures,South Asia,na
1962-03,Number Of Air Passenger Departures,Middle East,na
1962-03,Number Of Air Passenger Departures,Oceania,na
1962-03,Number Of Air Passenger Departures,Europe,na
1962-03,Number Of Air Passenger Departures,North America,na
1962-03,Number Of Air Passenger Departures,Other Regions,na
1962-04,Number Of Air Passenger Departures,South East Asia,na
1962-04,Number Of Air Passenger Departures,North East Asia,na
1962-04,Number Of Air Passenger Departures,South Asia,na
1962-04,Number Of Air Passenger Departures,Middle East,na
1962-04,Number Of Air Passenger Departures,Oceania,na
1962-04,Number Of Air Passenger Departures,Europe,na
1962-04,Number Of Air Passenger Departures,North America,na
1962-04,Number Of Air Passenger Departures,Other Regions,na
1962-05,Number Of Air Passenger Departures,South East Asia,na
1962-05,Number Of Air Passenger Departures,North East Asia,na
1962-05,Number Of Air Passenger Departures,South Asia,na
1962-05,Number Of Air Passenger Departures,Middle East,na
1962-05,Number Of Air Passenger Departures,Oceania,na
1962-05,Number Of Air Passenger Departures,Europe,na
1962-05,Number Of Air Passenger Departures,North America,na
1962-05,Number Of Air Passenger Departures,Other Regions,na
1962-06,Number Of Air Passenger Departures,South East Asia,na
1962-06,Number Of Air Passenger Departures,North East Asia,na
1962-06,Number Of Air Passenger Departures,South Asia,na
1962-06,Number Of Air Passenger Departures,Middle East,na
1962-06,Number Of Air Passenger Departures,Oceania,na
1962-06,Number Of Air Passenger Departures,Europe,na
1962-06,Number Of Air Passenger Departures,North America,na
1962-06,Number Of Air Passenger Departures,Other Regions,na
1962-07,Number Of Air Passenger Departures,South East Asia,na
1962-07,Number Of Air Passenger Departures,North East Asia,na
1962-07,Number Of Air Passenger Departures,South Asia,na
1962-07,Number Of Air Passenger Departures,Middle East,na
1962-07,Number Of Air Passenger Departures,Oceania,na
1962-07,Number Of Air Passenger Departures,Europe,na
1962-07,Number Of Air Passenger Departures,North America,na
1962-07,Number Of Air Passenger Departures,Other Regions,na
1962-08,Number Of Air Passenger Departures,South East Asia,na
1962-08,Number Of Air Passenger Departures,North East Asia,na
1962-08,Number Of Air Passenger Departures,South Asia,na
1962-08,Number Of Air Passenger Departures,Middle East,na
1962-08,Number Of Air Passenger Departures,Oceania,na
1962-08,Number Of Air Passenger Departures,Europe,na
1962-08,Number Of Air Passenger Departures,North America,na
1962-08,Number Of Air Passenger Departures,Other Regions,na
1962-09,Number Of Air Passenger Departures,South East Asia,na
