month,level_1,value
2018-09,Number Of Air Passenger Departures,2550670
2018-10,Number Of Air Passenger Departures,2652749
2018-11,Number Of Air Passenger Departures,2717011
2018-12,Number Of Air Passenger Departures,2980249
2019-01,Number Of Air Passenger Departures,2726368
2019-02,Number Of Air Passenger Departures,2522088
2019-03,Number Of Air Passenger Departures,2787741
2019-04,Number Of Air Passenger Departures,2700598
2019-05,Number Of Air Passenger Departures,2691345
2019-06,Number Of Air Passenger Departures,2834087
2019-07,Number Of Air Passenger Departures,2853267
2019-08,Number Of Air Passenger Departures,2911530
2019-09,Number Of Air Passenger Departures,2682724
2019-10,Number Of Air Passenger Departures,2801262
2019-11,Number Of Air Passenger Departures,2855679
2019-12,Number Of Air Passenger Departures,3132828
