month,level_1,level_2,level_3,value
1961-10,Number Of Air Passenger Departures,South East Asia,Indonesia,1805
1961-10,Number Of Air Passenger Departures,South East Asia,Thailand,1681
1961-10,Number Of Air Passenger Departures,South East Asia,Philippines,306
1961-10,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1961-10,Number Of Air Passenger Departures,North East Asia,China,na
1961-10,Number Of Air Passenger Departures,North East Asia,Hong Kong,1436
1961-10,Number Of Air Passenger Departures,North East Asia,Japan,191
1961-10,Number Of Air Passenger Departures,Europe,United Kingdom,417
1961-10,Number Of Air Passenger Departures,Europe,France,na
1961-10,Number Of Air Passenger Departures,Europe,Germany,na
1961-11,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1961-11,Number Of Air Passenger Departures,South East Asia,Indonesia,1838
1961-11,Number Of Air Passenger Departures,South East Asia,Thailand,1645
1961-11,Number Of Air Passenger Departures,South East Asia,Philippines,269
1961-11,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1961-11,Number Of Air Passenger Departures,North East Asia,China,na
1961-11,Number Of Air Passenger Departures,North East Asia,Hong Kong,1566
1961-11,Number Of Air Passenger Departures,North East Asia,Japan,158
1961-11,Number Of Air Passenger Departures,Europe,United Kingdom,442
1961-11,Number Of Air Passenger Departures,Europe,France,na
1961-11,Number Of Air Passenger Departures,Europe,Germany,na
1961-12,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1961-12,Number Of Air Passenger Departures,South East Asia,Indonesia,2091
1961-12,Number Of Air Passenger Departures,South East Asia,Thailand,1374
1961-12,Number Of Air Passenger Departures,South East Asia,Philippines,214
1961-12,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1961-12,Number Of Air Passenger Departures,North East Asia,China,na
1961-12,Number Of Air Passenger Departures,North East Asia,Hong Kong,1389
1961-12,Number Of Air Passenger Departures,North East Asia,Japan,168
1961-12,Number Of Air Passenger Departures,Europe,United Kingdom,491
1961-12,Number Of Air Passenger Departures,Europe,France,na
1961-12,Number Of Air Passenger Departures,Europe,Germany,na
1962-01,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1962-01,Number Of Air Passenger Departures,South East Asia,Indonesia,1759
1962-01,Number Of Air Passenger Departures,South East Asia,Thailand,1227
1962-01,Number Of Air Passenger Departures,South East Asia,Philippines,211
1962-01,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1962-01,Number Of Air Passenger Departures,North East Asia,China,na
1962-01,Number Of Air Passenger Departures,North East Asia,Hong Kong,934
1962-01,Number Of Air Passenger Departures,North East Asia,Japan,106
1962-01,Number Of Air Passenger Departures,Europe,United Kingdom,563
1962-01,Number Of Air Passenger Departures,Europe,France,na
1962-01,Number Of Air Passenger Departures,Europe,Germany,na
1962-02,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1962-02,Number Of Air Passenger Departures,South East Asia,Indonesia,1553
1962-02,Number Of Air Passenger Departures,South East Asia,Thailand,1422
1962-02,Number Of Air Passenger Departures,South East Asia,Philippines,190
1962-02,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1962-02,Number Of Air Passenger Departures,North East Asia,China,na
1962-02,Number Of Air Passenger Departures,North East Asia,Hong Kong,954
1962-02,Number Of Air Passenger Departures,North East Asia,Japan,108
1962-02,Number Of Air Passenger Departures,Europe,United Kingdom,349
1962-02,Number Of Air Passenger Departures,Europe,France,na
1962-02,Number Of Air Passenger Departures,Europe,Germany,na
1962-03,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1962-03,Number Of Air Passenger Departures,South East Asia,Indonesia,1810
1962-03,Number Of Air Passenger Departures,South East Asia,Thailand,2147
1962-03,Number Of Air Passenger Departures,South East Asia,Philippines,321
1962-03,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1962-03,Number Of Air Passenger Departures,North East Asia,China,na
1962-03,Number Of Air Passenger Departures,North East Asia,Hong Kong,1461
1962-03,Number Of Air Passenger Departures,North East Asia,Japan,241
1962-03,Number Of Air Passenger Departures,Europe,United Kingdom,454
1962-03,Number Of Air Passenger Departures,Europe,France,na
1962-03,Number Of Air Passenger Departures,Europe,Germany,na
1962-04,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1962-04,Number Of Air Passenger Departures,South East Asia,Indonesia,1943
1962-04,Number Of Air Passenger Departures,South East Asia,Thailand,2080
1962-04,Number Of Air Passenger Departures,South East Asia,Philippines,259
1962-04,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1962-04,Number Of Air Passenger Departures,North East Asia,China,na
1962-04,Number Of Air Passenger Departures,North East Asia,Hong Kong,1686
1962-04,Number Of Air Passenger Departures,North East Asia,Japan,285
1962-04,Number Of Air Passenger Departures,Europe,United Kingdom,627
1962-04,Number Of Air Passenger Departures,Europe,France,na
1962-04,Number Of Air Passenger Departures,Europe,Germany,na
1962-05,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1962-05,Number Of Air Passenger Departures,South East Asia,Indonesia,1575
1962-05,Number Of Air Passenger Departures,South East Asia,Thailand,1899
1962-05,Number Of Air Passenger Departures,South East Asia,Philippines,377
1962-05,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1962-05,Number Of Air Passenger Departures,North East Asia,China,na
1962-05,Number Of Air Passenger Departures,North East Asia,Hong Kong,1485
