month,level_1,level_2,level_3,value
1969-02,Number Of Air Passenger Departures,North East Asia,China,na
1969-02,Number Of Air Passenger Departures,North East Asia,Hong Kong,2460
1969-02,Number Of Air Passenger Departures,North East Asia,Japan,493
1969-02,Number Of Air Passenger Departures,Europe,United Kingdom,615
1969-02,Number Of Air Passenger Departures,Europe,France,na
1969-02,Number Of Air Passenger Departures,Europe,Germany,na
1969-03,Number Of Air Passenger Departures,South East Asia,Malaysia,13256
1969-03,Number Of Air Passenger Departures,South East Asia,Indonesia,4986
1969-03,Number Of Air Passenger Departures,South East Asia,Thailand,4072
1969-03,Number Of Air Passenger Departures,South East Asia,Philippines,986
1969-03,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1969-03,Number Of Air Passenger Departures,North East Asia,China,na
1969-03,Number Of Air Passenger Departures,North East Asia,Hong Kong,3366
1969-03,Number Of Air Passenger Departures,North East Asia,Japan,641
1969-03,Number Of Air Passenger Departures,Europe,United Kingdom,1278
1969-03,Number Of Air Passenger Departures,Europe,France,na
1969-03,Number Of Air Passenger Departures,Europe,Germany,na
1969-04,Number Of Air Passenger Departures,South East Asia,Malaysia,14398
1969-04,Number Of Air Passenger Departures,South East Asia,Indonesia,5410
1969-04,Number Of Air Passenger Departures,South East Asia,Thailand,5197
1969-04,Number Of Air Passenger Departures,South East Asia,Philippines,994
1969-04,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1969-04,Number Of Air Passenger Departures,North East Asia,China,na
1969-04,Number Of Air Passenger Departures,North East Asia,Hong Kong,4241
1969-04,Number Of Air Passenger Departures,North East Asia,Japan,833
1969-04,Number Of Air Passenger Departures,Europe,United Kingdom,1984
1969-04,Number Of Air Passenger Departures,Europe,France,na
1969-04,Number Of Air Passenger Departures,Europe,Germany,na
1969-05,Number Of Air Passenger Departures,South East Asia,Malaysia,10526
1969-05,Number Of Air Passenger Departures,South East Asia,Indonesia,5164
1969-05,Number Of Air Passenger Departures,South East Asia,Thailand,5387
1969-05,Number Of Air Passenger Departures,South East Asia,Philippines,1115
1969-05,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1969-05,Number Of Air Passenger Departures,North East Asia,China,na
1969-05,Number Of Air Passenger Departures,North East Asia,Hong Kong,3648
1969-05,Number Of Air Passenger Departures,North East Asia,Japan,832
1969-05,Number Of Air Passenger Departures,Europe,United Kingdom,1492
1969-05,Number Of Air Passenger Departures,Europe,France,na
1969-05,Number Of Air Passenger Departures,Europe,Germany,na
1969-06,Number Of Air Passenger Departures,South East Asia,Malaysia,11397
1969-06,Number Of Air Passenger Departures,South East Asia,Indonesia,4811
1969-06,Number Of Air Passenger Departures,South East Asia,Thailand,4704
1969-06,Number Of Air Passenger Departures,South East Asia,Philippines,898
1969-06,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1969-06,Number Of Air Passenger Departures,North East Asia,China,na
1969-06,Number Of Air Passenger Departures,North East Asia,Hong Kong,3052
1969-06,Number Of Air Passenger Departures,North East Asia,Japan,755
1969-06,Number Of Air Passenger Departures,Europe,United Kingdom,1042
1969-06,Number Of Air Passenger Departures,Europe,France,na
1969-06,Number Of Air Passenger Departures,Europe,Germany,na
1969-07,Number Of Air Passenger Departures,South East Asia,Malaysia,13057
1969-07,Number Of Air Passenger Departures,South East Asia,Indonesia,5795
1969-07,Number Of Air Passenger Departures,South East Asia,Thailand,4859
1969-07,Number Of Air Passenger Departures,South East Asia,Philippines,1100
1969-07,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1969-07,Number Of Air Passenger Departures,North East Asia,China,na
1969-07,Number Of Air Passenger Departures,North East Asia,Hong Kong,3751
1969-07,Number Of Air Passenger Departures,North East Asia,Japan,853
1969-07,Number Of Air Passenger Departures,Europe,United Kingdom,2098
1969-07,Number Of Air Passenger Departures,Europe,France,na
1969-07,Number Of Air Passenger Departures,Europe,Germany,na
1969-08,Number Of Air Passenger Departures,South East Asia,Malaysia,15140
1969-08,Number Of Air Passenger Departures,South East Asia,Indonesia,6054
1969-08,Number Of Air Passenger Departures,South East Asia,Thailand,4372
1969-08,Number Of Air Passenger Departures,South East Asia,Philippines,951
1969-08,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1969-08,Number Of Air Passenger Departures,North East Asia,China,na
1969-08,Number Of Air Passenger Departures,North East Asia,Hong Kong,4473
1969-08,Number Of Air Passenger Departures,North East Asia,Japan,1044
1969-08,Number Of Air Passenger Departures,Europe,United Kingdom,1194
1969-08,Number Of Air Passenger Departures,Europe,France,na
1969-08,Number Of Air Passenger Departures,Europe,Germany,na
1969-09,Number Of Air Passenger Departures,South East Asia,Malaysia,13141
1969-09,Number Of Air Passenger Departures,South East Asia,Indonesia,5900
1969-09,Number Of Air Passenger Departures,South East Asia,Thailand,3539
1969-09,Number Of Air Passenger Departures,South East Asia,Philippines,738
1969-09,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1969-09,Number Of Air Passenger Departures,North East Asia,China,na
1969-09,Number Of Air Passenger Departures,North East Asia,Hong Kong,3803
1969-09,Number Of Air Passenger Departures,North East Asia,Japan,956
1969-09,Number Of Air Passenger Departures,Europe,United Kingdom,3368
1969-09,Number Of Air Passenger Departures,Europe,France,na
1969-09,Number Of Air Passenger Departures,Europe,Germany,na
1969-10,Number Of Air Passenger Departures,South East Asia,Malaysia,13889
1969-10,Number Of Air Passenger Departures,South East Asia,Indonesia,7153
1969-10,Number Of Air Passenger Departures,South East Asia,Thailand,4917
1969-10,Number Of Air Passenger Departures,South East Asia,Philippines,1258
1969-10,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1969-10,Number Of Air Passenger Departures,North East Asia,China,na
1969-10,Number Of Air Passenger Departures,North East Asia,Hong Kong,4339
1969-10,Number Of Air Passenger Departures,North East Asia,Japan,973
1969-10,Number Of Air Passenger Departures,Europe,United Kingdom,978
1969-10,Number Of Air Passenger Departures,Europe,France,na
1969-10,Number Of Air Passenger Departures,Europe,Germany,na
1969-11,Number Of Air Passenger Departures,South East Asia,Malaysia,14646
1969-11,Number Of Air Passenger Departures,South East Asia,Indonesia,8473
1969-11,Number Of Air Passenger Departures,South East Asia,Thailand,4938
1969-11,Number Of Air Passenger Departures,South East Asia,Philippines,1248
1969-11,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1969-11,Number Of Air Passenger Departures,North East Asia,China,na
1969-11,Number Of Air Passenger Departures,North East Asia,Hong Kong,4503
1969-11,Number Of Air Passenger Departures,North East Asia,Japan,974
1969-11,Number Of Air Passenger Departures,Europe,United Kingdom,1063
1969-11,Number Of Air Passenger Departures,Europe,France,na
1969-11,Number Of Air Passenger Departures,Europe,Germany,na
1969-12,Number Of Air Passenger Departures,South East Asia,Malaysia,18427
1969-12,Number Of Air Passenger Departures,South East Asia,Indonesia,8570
1969-12,Number Of Air Passenger Departures,South East Asia,Thailand,4618
1969-12,Number Of Air Passenger Departures,South East Asia,Philippines,1122
1969-12,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1969-12,Number Of Air Passenger Departures,North East Asia,China,na
1969-12,Number Of Air Passenger Departures,North East Asia,Hong Kong,3747
1969-12,Number Of Air Passenger Departures,North East Asia,Japan,959
1969-12,Number Of Air Passenger Departures,Europe,United Kingdom,2165
1969-12,Number Of Air Passenger Departures,Europe,France,na
1969-12,Number Of Air Passenger Departures,Europe,Germany,na
1970-01,Number Of Air Passenger Departures,South East Asia,Malaysia,14718
1970-01,Number Of Air Passenger Departures,South East Asia,Indonesia,7975
1970-01,Number Of Air Passenger Departures,South East Asia,Thailand,3428
1970-01,Number Of Air Passenger Departures,South East Asia,Philippines,1049
1970-01,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1970-01,Number Of Air Passenger Departures,North East Asia,China,na
1970-01,Number Of Air Passenger Departures,North East Asia,Hong Kong,3275
1970-01,Number Of Air Passenger Departures,North East Asia,Japan,682
1970-01,Number Of Air Passenger Departures,Europe,United Kingdom,2759
1970-01,Number Of Air Passenger Departures,Europe,France,na
1970-01,Number Of Air Passenger Departures,Europe,Germany,na
1970-02,Number Of Air Passenger Departures,South East Asia,Malaysia,14683
1970-02,Number Of Air Passenger Departures,South East Asia,Indonesia,7484
1970-02,Number Of Air Passenger Departures,South East Asia,Thailand,3842
1970-02,Number Of Air Passenger Departures,South East Asia,Philippines,884
1970-02,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1970-02,Number Of Air Passenger Departures,North East Asia,China,na
1970-02,Number Of Air Passenger Departures,North East Asia,Hong Kong,3540
1970-02,Number Of Air Passenger Departures,North East Asia,Japan,783
1970-02,Number Of Air Passenger Departures,Europe,United Kingdom,1158
1970-02,Number Of Air Passenger Departures,Europe,France,na
1970-02,Number Of Air Passenger Departures,Europe,Germany,na
1970-03,Number Of Air Passenger Departures,South East Asia,Malaysia,15858
1970-03,Number Of Air Passenger Departures,South East Asia,Indonesia,8686
1970-03,Number Of Air Passenger Departures,South East Asia,Thailand,5869
1970-03,Number Of Air Passenger Departures,South East Asia,Philippines,1209
1970-03,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1970-03,Number Of Air Passenger Departures,North East Asia,China,na
1970-03,Number Of Air Passenger Departures,North East Asia,Hong Kong,4108
1970-03,Number Of Air Passenger Departures,North East Asia,Japan,1031
1970-03,Number Of Air Passenger Departures,Europe,United Kingdom,2906
1970-03,Number Of Air Passenger Departures,Europe,France,na
1970-03,Number Of Air Passenger Departures,Europe,Germany,na
1970-04,Number Of Air Passenger Departures,South East Asia,Malaysia,16957
1970-04,Number Of Air Passenger Departures,South East Asia,Indonesia,8658
1970-04,Number Of Air Passenger Departures,South East Asia,Thailand,7156
1970-04,Number Of Air Passenger Departures,South East Asia,Philippines,1714
1970-04,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1970-04,Number Of Air Passenger Departures,North East Asia,China,na
1970-04,Number Of Air Passenger Departures,North East Asia,Hong Kong,5503
1970-04,Number Of Air Passenger Departures,North East Asia,Japan,1693
1970-04,Number Of Air Passenger Departures,Europe,United Kingdom,2774
1970-04,Number Of Air Passenger Departures,Europe,France,na
1970-04,Number Of Air Passenger Departures,Europe,Germany,na
1970-05,Number Of Air Passenger Departures,South East Asia,Malaysia,16535
1970-05,Number Of Air Passenger Departures,South East Asia,Indonesia,8930
1970-05,Number Of Air Passenger Departures,South East Asia,Thailand,7468
1970-05,Number Of Air Passenger Departures,South East Asia,Philippines,1625
1970-05,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1970-05,Number Of Air Passenger Departures,North East Asia,China,na
1970-05,Number Of Air Passenger Departures,North East Asia,Hong Kong,5369
1970-05,Number Of Air Passenger Departures,North East Asia,Japan,1671
1970-05,Number Of Air Passenger Departures,Europe,United Kingdom,1797
1970-05,Number Of Air Passenger Departures,Europe,France,na
1970-05,Number Of Air Passenger Departures,Europe,Germany,na
1970-06,Number Of Air Passenger Departures,South East Asia,Malaysia,15751
1970-06,Number Of Air Passenger Departures,South East Asia,Indonesia,9470
1970-06,Number Of Air Passenger Departures,South East Asia,Thailand,5285
1970-06,Number Of Air Passenger Departures,South East Asia,Philippines,1215
1970-06,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1970-06,Number Of Air Passenger Departures,North East Asia,China,na
1970-06,Number Of Air Passenger Departures,North East Asia,Hong Kong,4816
1970-06,Number Of Air Passenger Departures,North East Asia,Japan,1132
1970-06,Number Of Air Passenger Departures,Europe,United Kingdom,2029
1970-06,Number Of Air Passenger Departures,Europe,France,na
1970-06,Number Of Air Passenger Departures,Europe,Germany,na
1970-07,Number Of Air Passenger Departures,South East Asia,Malaysia,17890
1970-07,Number Of Air Passenger Departures,South East Asia,Indonesia,10777
1970-07,Number Of Air Passenger Departures,South East Asia,Thailand,6718
1970-07,Number Of Air Passenger Departures,South East Asia,Philippines,1727
1970-07,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1970-07,Number Of Air Passenger Departures,North East Asia,China,na
1970-07,Number Of Air Passenger Departures,North East Asia,Hong Kong,5604
1970-07,Number Of Air Passenger Departures,North East Asia,Japan,1424
1970-07,Number Of Air Passenger Departures,Europe,United Kingdom,4538
1970-07,Number Of Air Passenger Departures,Europe,France,na
1970-07,Number Of Air Passenger Departures,Europe,Germany,na
1970-08,Number Of Air Passenger Departures,South East Asia,Malaysia,20296
1970-08,Number Of Air Passenger Departures,South East Asia,Indonesia,11315
1970-08,Number Of Air Passenger Departures,South East Asia,Thailand,7757
1970-08,Number Of Air Passenger Departures,South East Asia,Philippines,1965
1970-08,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1970-08,Number Of Air Passenger Departures,North East Asia,China,na
1970-08,Number Of Air Passenger Departures,North East Asia,Hong Kong,6877
1970-08,Number Of Air Passenger Departures,North East Asia,Japan,1645
1970-08,Number Of Air Passenger Departures,Europe,United Kingdom,2333
1970-08,Number Of Air Passenger Departures,Europe,France,na
1970-08,Number Of Air Passenger Departures,Europe,Germany,na
1970-09,Number Of Air Passenger Departures,South East Asia,Malaysia,17177
1970-09,Number Of Air Passenger Departures,South East Asia,Indonesia,10753
1970-09,Number Of Air Passenger Departures,South East Asia,Thailand,5438
1970-09,Number Of Air Passenger Departures,South East Asia,Philippines,1467
1970-09,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1970-09,Number Of Air Passenger Departures,North East Asia,China,na
1970-09,Number Of Air Passenger Departures,North East Asia,Hong Kong,5196
1970-09,Number Of Air Passenger Departures,North East Asia,Japan,1325
1970-09,Number Of Air Passenger Departures,Europe,United Kingdom,3656
1970-09,Number Of Air Passenger Departures,Europe,France,na
1970-09,Number Of Air Passenger Departures,Europe,Germany,na
1970-10,Number Of Air Passenger Departures,South East Asia,Malaysia,16924
1970-10,Number Of Air Passenger Departures,South East Asia,Indonesia,11304
1970-10,Number Of Air Passenger Departures,South East Asia,Thailand,5296
1970-10,Number Of Air Passenger Departures,South East Asia,Philippines,1483
1970-10,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1970-10,Number Of Air Passenger Departures,North East Asia,China,na
1970-10,Number Of Air Passenger Departures,North East Asia,Hong Kong,4963
1970-10,Number Of Air Passenger Departures,North East Asia,Japan,1096
1970-10,Number Of Air Passenger Departures,Europe,United Kingdom,1204
1970-10,Number Of Air Passenger Departures,Europe,France,na
1970-10,Number Of Air Passenger Departures,Europe,Germany,na
1970-11,Number Of Air Passenger Departures,South East Asia,Malaysia,17676
1970-11,Number Of Air Passenger Departures,South East Asia,Indonesia,12230
1970-11,Number Of Air Passenger Departures,South East Asia,Thailand,5297
1970-11,Number Of Air Passenger Departures,South East Asia,Philippines,1602
1970-11,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1970-11,Number Of Air Passenger Departures,North East Asia,China,na
1970-11,Number Of Air Passenger Departures,North East Asia,Hong Kong,5318
1970-11,Number Of Air Passenger Departures,North East Asia,Japan,1096
1970-11,Number Of Air Passenger Departures,Europe,United Kingdom,1292
1970-11,Number Of Air Passenger Departures,Europe,France,na
1970-11,Number Of Air Passenger Departures,Europe,Germany,na
1970-12,Number Of Air Passenger Departures,South East Asia,Malaysia,22728
1970-12,Number Of Air Passenger Departures,South East Asia,Indonesia,13165
1970-12,Number Of Air Passenger Departures,South East Asia,Thailand,5819
1970-12,Number Of Air Passenger Departures,South East Asia,Philippines,1258
1970-12,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1970-12,Number Of Air Passenger Departures,North East Asia,China,na
1970-12,Number Of Air Passenger Departures,North East Asia,Hong Kong,4807
1970-12,Number Of Air Passenger Departures,North East Asia,Japan,1187
1970-12,Number Of Air Passenger Departures,Europe,United Kingdom,3406
1970-12,Number Of Air Passenger Departures,Europe,France,na
1970-12,Number Of Air Passenger Departures,Europe,Germany,na
1971-01,Number Of Air Passenger Departures,South East Asia,Malaysia,20609
1971-01,Number Of Air Passenger Departures,South East Asia,Indonesia,12135
1971-01,Number Of Air Passenger Departures,South East Asia,Thailand,4828
1971-01,Number Of Air Passenger Departures,South East Asia,Philippines,1325
1971-01,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1971-01,Number Of Air Passenger Departures,North East Asia,China,na
1971-01,Number Of Air Passenger Departures,North East Asia,Hong Kong,4365
1971-01,Number Of Air Passenger Departures,North East Asia,Japan,1056
1971-01,Number Of Air Passenger Departures,Europe,United Kingdom,3251
1971-01,Number Of Air Passenger Departures,Europe,France,na
1971-01,Number Of Air Passenger Departures,Europe,Germany,na
1971-02,Number Of Air Passenger Departures,South East Asia,Malaysia,17501
1971-02,Number Of Air Passenger Departures,South East Asia,Indonesia,11989
1971-02,Number Of Air Passenger Departures,South East Asia,Thailand,4848
1971-02,Number Of Air Passenger Departures,South East Asia,Philippines,1243
1971-02,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1971-02,Number Of Air Passenger Departures,North East Asia,China,na
1971-02,Number Of Air Passenger Departures,North East Asia,Hong Kong,5160
1971-02,Number Of Air Passenger Departures,North East Asia,Japan,915
1971-02,Number Of Air Passenger Departures,Europe,United Kingdom,1654
1971-02,Number Of Air Passenger Departures,Europe,France,na
1971-02,Number Of Air Passenger Departures,Europe,Germany,na
1971-03,Number Of Air Passenger Departures,South East Asia,Malaysia,18613
1971-03,Number Of Air Passenger Departures,South East Asia,Indonesia,12410
1971-03,Number Of Air Passenger Departures,South East Asia,Thailand,5792
1971-03,Number Of Air Passenger Departures,South East Asia,Philippines,1570
1971-03,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1971-03,Number Of Air Passenger Departures,North East Asia,China,na
1971-03,Number Of Air Passenger Departures,North East Asia,Hong Kong,5622
1971-03,Number Of Air Passenger Departures,North East Asia,Japan,1305
1971-03,Number Of Air Passenger Departures,Europe,United Kingdom,2484
1971-03,Number Of Air Passenger Departures,Europe,France,na
1971-03,Number Of Air Passenger Departures,Europe,Germany,na
1971-04,Number Of Air Passenger Departures,South East Asia,Malaysia,20494
1971-04,Number Of Air Passenger Departures,South East Asia,Indonesia,13060
1971-04,Number Of Air Passenger Departures,South East Asia,Thailand,6726
1971-04,Number Of Air Passenger Departures,South East Asia,Philippines,1807
1971-04,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1971-04,Number Of Air Passenger Departures,North East Asia,China,na
1971-04,Number Of Air Passenger Departures,North East Asia,Hong Kong,6364
1971-04,Number Of Air Passenger Departures,North East Asia,Japan,1464
1971-04,Number Of Air Passenger Departures,Europe,United Kingdom,3894
1971-04,Number Of Air Passenger Departures,Europe,France,na
1971-04,Number Of Air Passenger Departures,Europe,Germany,na
1971-05,Number Of Air Passenger Departures,South East Asia,Malaysia,20422
1971-05,Number Of Air Passenger Departures,South East Asia,Indonesia,13240
1971-05,Number Of Air Passenger Departures,South East Asia,Thailand,7221
1971-05,Number Of Air Passenger Departures,South East Asia,Philippines,1668
1971-05,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1971-05,Number Of Air Passenger Departures,North East Asia,China,na
1971-05,Number Of Air Passenger Departures,North East Asia,Hong Kong,5402
1971-05,Number Of Air Passenger Departures,North East Asia,Japan,1502
1971-05,Number Of Air Passenger Departures,Europe,United Kingdom,3251
1971-05,Number Of Air Passenger Departures,Europe,France,na
1971-05,Number Of Air Passenger Departures,Europe,Germany,na
1971-06,Number Of Air Passenger Departures,South East Asia,Malaysia,18088
1971-06,Number Of Air Passenger Departures,South East Asia,Indonesia,12191
1971-06,Number Of Air Passenger Departures,South East Asia,Thailand,5267
1971-06,Number Of Air Passenger Departures,South East Asia,Philippines,1647
1971-06,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1971-06,Number Of Air Passenger Departures,North East Asia,China,na
1971-06,Number Of Air Passenger Departures,North East Asia,Hong Kong,4679
1971-06,Number Of Air Passenger Departures,North East Asia,Japan,1248
1971-06,Number Of Air Passenger Departures,Europe,United Kingdom,3826
1971-06,Number Of Air Passenger Departures,Europe,France,na
1971-06,Number Of Air Passenger Departures,Europe,Germany,na
1971-07,Number Of Air Passenger Departures,South East Asia,Malaysia,20140
1971-07,Number Of Air Passenger Departures,South East Asia,Indonesia,12678
1971-07,Number Of Air Passenger Departures,South East Asia,Thailand,5541
1971-07,Number Of Air Passenger Departures,South East Asia,Philippines,1929
1971-07,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1971-07,Number Of Air Passenger Departures,North East Asia,China,na
1971-07,Number Of Air Passenger Departures,North East Asia,Hong Kong,4935
1971-07,Number Of Air Passenger Departures,North East Asia,Japan,1328
1971-07,Number Of Air Passenger Departures,Europe,United Kingdom,4148
1971-07,Number Of Air Passenger Departures,Europe,France,na
1971-07,Number Of Air Passenger Departures,Europe,Germany,na
1971-08,Number Of Air Passenger Departures,South East Asia,Malaysia,23732
1971-08,Number Of Air Passenger Departures,South East Asia,Indonesia,15550
1971-08,Number Of Air Passenger Departures,South East Asia,Thailand,6667
1971-08,Number Of Air Passenger Departures,South East Asia,Philippines,1898
1971-08,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1971-08,Number Of Air Passenger Departures,North East Asia,China,na
1971-08,Number Of Air Passenger Departures,North East Asia,Hong Kong,6774
1971-08,Number Of Air Passenger Departures,North East Asia,Japan,1810
1971-08,Number Of Air Passenger Departures,Europe,United Kingdom,3411
1971-08,Number Of Air Passenger Departures,Europe,France,na
1971-08,Number Of Air Passenger Departures,Europe,Germany,na
1971-09,Number Of Air Passenger Departures,South East Asia,Malaysia,20039
1971-09,Number Of Air Passenger Departures,South East Asia,Indonesia,13238
1971-09,Number Of Air Passenger Departures,South East Asia,Thailand,6006
1971-09,Number Of Air Passenger Departures,South East Asia,Philippines,1338
1971-09,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1971-09,Number Of Air Passenger Departures,North East Asia,China,na
1971-09,Number Of Air Passenger Departures,North East Asia,Hong Kong,5327
1971-09,Number Of Air Passenger Departures,North East Asia,Japan,1303
1971-09,Number Of Air Passenger Departures,Europe,United Kingdom,4621
1971-09,Number Of Air Passenger Departures,Europe,France,na
1971-09,Number Of Air Passenger Departures,Europe,Germany,na
1971-10,Number Of Air Passenger Departures,South East Asia,Malaysia,21889
1971-10,Number Of Air Passenger Departures,South East Asia,Indonesia,14392
1971-10,Number Of Air Passenger Departures,South East Asia,Thailand,7562
1971-10,Number Of Air Passenger Departures,South East Asia,Philippines,1907
1971-10,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1971-10,Number Of Air Passenger Departures,North East Asia,China,na
1971-10,Number Of Air Passenger Departures,North East Asia,Hong Kong,7117
1971-10,Number Of Air Passenger Departures,North East Asia,Japan,1560
1971-10,Number Of Air Passenger Departures,Europe,United Kingdom,2736
1971-10,Number Of Air Passenger Departures,Europe,France,na
1971-10,Number Of Air Passenger Departures,Europe,Germany,na
1971-11,Number Of Air Passenger Departures,South East Asia,Malaysia,22996
1971-11,Number Of Air Passenger Departures,South East Asia,Indonesia,15499
1971-11,Number Of Air Passenger Departures,South East Asia,Thailand,6924
1971-11,Number Of Air Passenger Departures,South East Asia,Philippines,1931
1971-11,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1971-11,Number Of Air Passenger Departures,North East Asia,China,na
1971-11,Number Of Air Passenger Departures,North East Asia,Hong Kong,7213
1971-11,Number Of Air Passenger Departures,North East Asia,Japan,1525
1971-11,Number Of Air Passenger Departures,Europe,United Kingdom,2900
1971-11,Number Of Air Passenger Departures,Europe,France,na
1971-11,Number Of Air Passenger Departures,Europe,Germany,na
1971-12,Number Of Air Passenger Departures,South East Asia,Malaysia,29317
1971-12,Number Of Air Passenger Departures,South East Asia,Indonesia,15747
1971-12,Number Of Air Passenger Departures,South East Asia,Thailand,6587
1971-12,Number Of Air Passenger Departures,South East Asia,Philippines,1685
1971-12,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1971-12,Number Of Air Passenger Departures,North East Asia,China,na
1971-12,Number Of Air Passenger Departures,North East Asia,Hong Kong,5716
1971-12,Number Of Air Passenger Departures,North East Asia,Japan,1449
1971-12,Number Of Air Passenger Departures,Europe,United Kingdom,6365
1971-12,Number Of Air Passenger Departures,Europe,France,na
1971-12,Number Of Air Passenger Departures,Europe,Germany,na
1972-01,Number Of Air Passenger Departures,South East Asia,Malaysia,22053
1972-01,Number Of Air Passenger Departures,South East Asia,Indonesia,14105
1972-01,Number Of Air Passenger Departures,South East Asia,Thailand,6202
1972-01,Number Of Air Passenger Departures,South East Asia,Philippines,1347
1972-01,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1972-01,Number Of Air Passenger Departures,North East Asia,China,na
1972-01,Number Of Air Passenger Departures,North East Asia,Hong Kong,5402
1972-01,Number Of Air Passenger Departures,North East Asia,Japan,1446
1972-01,Number Of Air Passenger Departures,Europe,United Kingdom,5151
1972-01,Number Of Air Passenger Departures,Europe,France,na
1972-01,Number Of Air Passenger Departures,Europe,Germany,na
1972-02,Number Of Air Passenger Departures,South East Asia,Malaysia,23242
1972-02,Number Of Air Passenger Departures,South East Asia,Indonesia,13256
1972-02,Number Of Air Passenger Departures,South East Asia,Thailand,7309
1972-02,Number Of Air Passenger Departures,South East Asia,Philippines,1517
1972-02,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1972-02,Number Of Air Passenger Departures,North East Asia,China,na
1972-02,Number Of Air Passenger Departures,North East Asia,Hong Kong,6394
1972-02,Number Of Air Passenger Departures,North East Asia,Japan,1664
1972-02,Number Of Air Passenger Departures,Europe,United Kingdom,4252
1972-02,Number Of Air Passenger Departures,Europe,France,na
1972-02,Number Of Air Passenger Departures,Europe,Germany,na
1972-03,Number Of Air Passenger Departures,South East Asia,Malaysia,24199
1972-03,Number Of Air Passenger Departures,South East Asia,Indonesia,15423
1972-03,Number Of Air Passenger Departures,South East Asia,Thailand,7615
1972-03,Number Of Air Passenger Departures,South East Asia,Philippines,1618
1972-03,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1972-03,Number Of Air Passenger Departures,North East Asia,China,na
1972-03,Number Of Air Passenger Departures,North East Asia,Hong Kong,6419
1972-03,Number Of Air Passenger Departures,North East Asia,Japan,2653
1972-03,Number Of Air Passenger Departures,Europe,United Kingdom,5805
1972-03,Number Of Air Passenger Departures,Europe,France,na
1972-03,Number Of Air Passenger Departures,Europe,Germany,na
1972-04,Number Of Air Passenger Departures,South East Asia,Malaysia,24167
1972-04,Number Of Air Passenger Departures,South East Asia,Indonesia,15054
1972-04,Number Of Air Passenger Departures,South East Asia,Thailand,8596
1972-04,Number Of Air Passenger Departures,South East Asia,Philippines,1687
1972-04,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1972-04,Number Of Air Passenger Departures,North East Asia,China,na
1972-04,Number Of Air Passenger Departures,North East Asia,Hong Kong,7597
1972-04,Number Of Air Passenger Departures,North East Asia,Japan,1743
1972-04,Number Of Air Passenger Departures,Europe,United Kingdom,7811
1972-04,Number Of Air Passenger Departures,Europe,France,na
1972-04,Number Of Air Passenger Departures,Europe,Germany,na
1972-05,Number Of Air Passenger Departures,South East Asia,Malaysia,22616
1972-05,Number Of Air Passenger Departures,South East Asia,Indonesia,14640
1972-05,Number Of Air Passenger Departures,South East Asia,Thailand,8705
1972-05,Number Of Air Passenger Departures,South East Asia,Philippines,1824
1972-05,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1972-05,Number Of Air Passenger Departures,North East Asia,China,na
1972-05,Number Of Air Passenger Departures,North East Asia,Hong Kong,6861
1972-05,Number Of Air Passenger Departures,North East Asia,Japan,1932
1972-05,Number Of Air Passenger Departures,Europe,United Kingdom,7384
1972-05,Number Of Air Passenger Departures,Europe,France,na
1972-05,Number Of Air Passenger Departures,Europe,Germany,na
1972-06,Number Of Air Passenger Departures,South East Asia,Malaysia,22985
1972-06,Number Of Air Passenger Departures,South East Asia,Indonesia,14857
